Date,Open,High,Low,Close,Adj Close,Volume
2016-03-03,125.199997,127.260002,124.779999,126.800003,113.485237,5009700
2016-03-04,127.370003,127.500000,125.160004,125.559998,112.375435,6448200
2016-03-07,125.010002,126.540001,125.010002,126.169998,112.921356,4161200
2016-03-08,125.220001,128.199997,125.000000,126.720001,114.037262,5280900
2016-03-09,127.029999,127.519997,125.330002,126.029999,113.416321,4047000
2016-03-10,126.199997,127.000000,124.309998,125.889999,113.290329,4503700
2016-03-11,126.970001,128.759995,126.730003,128.460007,115.603127,4626600
2016-03-14,128.429993,129.660004,128.100006,128.839996,115.945084,3653200
2016-03-15,128.779999,130.479996,128.619995,129.710007,116.728035,4033900
2016-03-16,129.630005,131.110001,128.809998,130.449997,117.393967,3609600
2016-03-17,130.100006,131.190002,129.320007,130.880005,117.780914,4130900
2016-03-18,131.139999,132.089996,130.830002,131.350006,118.203873,8069200
2016-03-21,131.529999,132.130005,130.270004,131.009995,117.897896,3817000
2016-03-22,130.610001,131.220001,129.919998,130.589996,117.519920,3946500
2016-03-23,130.589996,131.179993,129.949997,130.220001,117.186974,3625300
2016-03-24,129.539993,130.759995,129.460007,130.460007,117.402962,3448700
2016-03-28,130.600006,131.809998,130.490005,131.080002,117.960899,2621100
2016-03-29,131.000000,132.899994,130.710007,132.470001,119.211784,3405400
2016-03-30,133.110001,133.929993,132.839996,133.419998,120.066681,3138300
2016-03-31,133.559998,134.289993,133.000000,133.429993,120.075684,3685900
2016-04-01,133.100006,135.199997,133.100006,134.850006,121.353569,4259400
2016-04-04,136.070007,136.229996,134.350006,134.850006,121.353569,3547600
2016-04-05,134.199997,135.699997,133.899994,134.580002,121.110596,4068600
2016-04-06,134.250000,135.740005,133.820007,135.440002,121.884514,3364800
2016-04-07,134.729996,135.240005,133.119995,133.869995,120.471649,3953700
2016-04-08,134.619995,134.619995,133.059998,133.619995,120.246681,2924400
2016-04-11,133.580002,135.080002,132.960007,133.009995,119.697731,3472700
2016-04-12,133.300003,134.720001,133.110001,134.380005,120.930626,4251400
2016-04-13,134.860001,134.860001,133.220001,133.839996,120.444656,4324800
2016-04-14,133.500000,134.710007,132.880005,134.369995,120.921631,4183300
2016-04-15,134.410004,135.279999,133.970001,135.009995,121.497574,3508900
2016-04-18,134.809998,136.800003,134.740005,136.800003,123.108421,3964300
2016-04-19,136.800003,137.000000,134.850006,135.440002,121.884514,4649500
2016-04-20,135.750000,136.080002,134.479996,135.190002,121.659576,4760200
2016-04-21,135.229996,135.490005,134.389999,134.600006,121.128609,3542200
2016-04-22,134.850006,135.679993,133.410004,135.660004,122.082512,4180900
2016-04-25,135.179993,135.729996,134.279999,135.649994,122.073494,2835400
2016-04-26,135.089996,136.240005,134.880005,135.339996,121.794540,3507200
